name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Algeria,africa,160033000000.0,0,0,0,0,45,40551404.0
El Salvador,americas,24154000000.0,0,0,0,0,5,6356143.0
Marshall Islands,australia,200558400.0,0,0,0,0,1,57735.0
Puerto Rico,americas,104337000000.0,0,0,0,0,14,3406495.0
Belgium,europe,476057000000.0,9,0,8,1,49,11331422.0
Thailand,asia,412353000000.0,0,0,0,0,11,68971331.0
Haiti,americas,7970649131.0,0,0,0,0,3,10839970.0
Iraq,asia,174879000000.0,0,0,0,0,9,36610632.0
Hong Kong,asia,320861000000.0,0,0,0,0,17,7336600.0
Georgia,asia,15141758567.0,1,0,0,1,11,3727505.0
Denmark,europe,313116000000.0,6,2,1,3,28,5728010.0
Poland,europe,472028000000.0,1,0,0,1,54,37970087.0
Guinea Bissau,africa,1178204501.0,0,0,0,0,2,1782437.0
Moldova,europe,8071480541.0,0,0,0,0,9,3551954.0
Morocco,africa,103312000000.0,0,0,0,0,22,35126296.0
Croatia,europe,51596929180.0,4,0,4,0,20,4174349.0
Micronesia,australia,332265162.5,0,0,0,0,3,110215.0
Switzerland,europe,671309000000.0,3,1,1,1,40,8373338.0
Grenada,americas,1061631222.0,0,0,0,0,1,110261.0
Seychelles,africa,1427524565.0,0,0,0,0,4,94677.0
Chad,africa,10090922857.0,0,0,0,0,1,14561666.0
Estonia,europe,23996451498.0,1,0,0,1,8,1315790.0
Uruguay,americas,52687612262.0,0,0,0,0,6,3424132.0
Equatorial Guinea,africa,11233177619.0,0,0,0,0,1,1215179.0
Lebanon,asia,51239050083.0,0,0,0,0,4,6711121.0
Uzbekistan,asia,81779012351.0,2,1,0,1,15,31847900.0
Tunisia,africa,41802653631.0,2,0,0,2,23,11303946.0
Djibouti,africa,2618587757.0,0,0,0,0,1,929112.0
Montenegro,europe,4374128319.0,0,0,0,0,7,622303.0
Timor-Leste,asia,2503532100.0,0,0,0,0,1,1219288.0
Dominica,americas,576229629.6,0,0,0,0,1,71307.0
Colombia,americas,282825000000.0,1,0,1,0,55,48171392.0
Cyprus,europe,20890936462.0,0,0,0,0,5,1170187.0
Barbados,americas,4840500000.0,0,0,0,0,5,285796.0
Qatar,asia,151732000000.0,1,0,1,0,18,2654374.0
Italy,europe,1875580000000.0,29,4,14,11,138,60627498.0
Sudan,africa,95558220777.0,0,0,0,0,2,39847440.0
Serbia,europe,40630392019.0,13,2,6,5,24,7058322.0
Nepal,asia,21185922408.0,0,0,0,0,1,27261131.0
Malta,europe,11452895367.0,0,0,0,0,5,455356.0
Cayman Islands,americas,4898908676.0,0,0,0,0,3,62569.0
Netherlands Antilles,americas,1436585185.0,0,0,0,0,1,94527.0
Israel,asia,318951000000.0,0,0,0,0,10,8546000.0
Zambia,africa,20954754378.0,0,0,0,0,1,16363507.0
Senegal,africa,19027392876.0,0,0,0,0,9,14993528.0
Papua New Guinea,australia,20759069105.0,0,0,0,0,1,8271760.0
Malawi,africa,5433040160.0,0,0,0,0,2,17205289.0
Trinidad and Tobago,americas,22284780327.0,0,0,0,0,19,1377564.0
Zimbabwe,africa,20548678100.0,0,0,0,0,7,14030390.0
