name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,1023200000000,4,0,3,1,93,31940655
Sao Tome and Principe,africa,114582285.8,0,0,0,0,1,153737
Fiji,australia,2727507213,0,0,0,0,2,817860
Turkmenistan,asia,6838351088,0,0,0,0,3,4703401
Lao PDR,asia,2366398120,0,0,0,0,1,5662208
Lithuania,europe,22649930576,1,1,0,0,14,3377075
Ethiopia,africa,10131187261,5,2,2,1,11,74239505
Aruba,americas,2228491620,0,0,0,0,2,98737
Swaziland,africa,2770082815,0,0,0,0,1,1026286
Argentina,americas,164658000000,14,6,0,8,59,38491972
Bolivia,americas,8773451739,0,0,0,0,5,9069039
Cameroon,africa,17430933517,0,0,0,0,6,17259322
Ghana,africa,8881368538,0,0,0,0,5,21272323
Saudi Arabia,asia,258742000000,0,0,0,0,15,23132682
Slovenia,europe,34414784504,2,0,1,1,17,1997012
Guatemala,americas,23965275794,0,0,0,0,5,12796925
Guinea,africa,3666349049,0,0,0,0,1,8925743
Russian Federation,europe,591017000000,33,11,8,14,109,144067054
Jordan,asia,11571424542,0,0,0,0,5,5580244
Spain,europe,1067090000000,9,2,4,3,118,42921895
Netherlands,europe,657172000000,27,1,20,6,78,16281779
Paraguay,americas,9624440836,10,0,10,0,11,5730549
Jamaica,americas,10150978155,6,3,0,3,28,2725015
Oman,asia,24763589077,0,0,0,0,2,2445517
Tanzania,africa,16675948415,0,0,0,0,1,37379767
Seychelles,africa,839319927.3,0,0,0,0,2,82475
Gabon,africa,7756293575,0,0,0,0,2,1353795
Monaco,europe,4110169853,0,0,0,0,1,33500
New Zealand,asia,103905000000,4,3,1,0,42,4087500
Yemen,asia,13872791659,0,0,0,0,2,19540098
Pakistan,asia,97977766198,0,0,0,0,12,156664697
Albania,europe,7184681399,0,0,0,0,1,3026939
Samoa,australia,420320176.4,0,0,0,0,1,178590
United Arab Emirates,asia,147824000000,1,1,0,0,5,4068570
Guam,Oceania,3857000000,0,0,0,0,1,158101
India,asia,709149000000,0,0,0,0,17,1129623456
Azerbaijan,asia,8680370408,2,0,0,2,9,8306500
Madagascar,asia,4363934494,0,0,0,0,1,17802997
Saint Vincent and the Grenadines,americas,521975111.1,0,0,0,0,1,108512
Kenya,africa,16095337094,0,0,0,0,6,35635271
Tajikistan,asia,2076182461,0,0,0,0,5,6662389
Turkey,europe,404787000000,4,0,1,3,22,67010930
Afghanistan,asia,5226775163,0,0,0,0,1,24726684
Czech Republic,europe,119162000000,2,0,0,2,25,10197101
San Marino,europe,1877328036,0,0,0,0,2,28940
Mongolia,asia,1992066808,0,0,0,0,7,2496391
France,europe,2115740000000,11,5,2,4,172,62704895
Bermuda,americas,4484703000,0,0,0,0,4,63740
Slovakia,asia,57332015148,1,0,0,1,14,5372280
Peru,americas,66768703498,0,0,0,0,5,27624213
Republic of Congo,africa,10297483481,0,0,0,0,4,53068880
Norway,europe,264512000000,1,1,0,0,13,4591910
Cote d'Ivoire,africa,16554441847,0,0,0,0,4,17970494
Benin,africa,4521424807,0,0,0,0,2,7750004
Singapore,asia,115035000000,0,0,0,0,3,4166664
United States of America,americas,12213700000000,58,21,18,19,162,292805298
Saint Kitts and Nevis,americas,529250444.4,0,0,0,0,1,46324
Togo,africa,2255942249,0,0,0,0,1,5467766
Virgin Islands,americas,12213700000000,0,0,0,0,1,292805298
China,asia,1955350000000,6,5,1,0,55,1296075000
Armenia,asia,3576615240,0,0,0,0,7,3000720
Dominican Republic,americas,22692574473,0,0,0,0,8,8974444
Ukraine,europe,64819702952,7,0,0,7,67,47451600
Finland,europe,197117000000,0,0,0,0,1,5228172
Libya,africa,33122307692,0,0,0,0,6,5710154
Indonesia,asia,256837000000,1,0,0,1,6,223285676
Central African Republic,africa,1270080251,0,0,0,0,2,3959875
Mauritius,africa,6578844486,0,0,0,0,5,1221003
Sweden,europe,382624000000,4,0,4,0,44,8993531
Australia,australia,612490000000,34,14,16,4,140,20127400
British Virgin Islands,americas,2416930000000,0,0,0,0,1,59987905
Mali,africa,5444474268,0,0,0,0,9,12369070
Bulgaria,europe,25957970922,3,1,0,2,29,7716860
Romania,europe,74972669057,10,5,1,4,57,21451748
Angola,africa,23552052408,0,0,0,0,8,18758145
Portugal,europe,189035000000,0,0,0,0,34,10483861
South Africa,africa,228590000000,2,0,0,2,34,47291610
Nicaragua,americas,5795568205,0,0,0,0,2,5364935
Brunei Darussalam,asia,7872333215,0,0,0,0,5,359433
Austria,europe,300904000000,1,1,0,0,16,8171966
Vietnam,asia,45427854693,0,0,0,0,2,83062821
Mozambique,africa,7589038160,0,0,0,0,1,19910552
Uganda,africa,7940362799,0,0,0,0,2,26821297
Hungary,europe,103960000000,7,4,2,1,56,10107146
Niger,africa,3052898739,0,0,0,0,1,13125916
Malasya,asia,124749000000,0,0,0,0,5,25190652
Brazil,americas,669317000000,12,4,6,2,117,184006481
Kuwait,asia,59439090601,0,0,0,0,9,2200492
Panama,americas,15013381700,0,0,0,0,2,3269356
Guyana,americas,787814379.2,0,0,0,0,1,745737
Costa Rica,americas,18528955525,0,0,0,0,6,4225155
Luxembourg,europe,34685281848,0,0,0,0,1,458095
Bahamas,americas,9055290000,0,0,0,0,11,318894
Ireland,europe,193871000000,0,0,0,0,14,4070262
Nigeria,africa,3052898739,4,0,0,4,22,13125916
Ecuador,americas,36591661000,0,0,0,0,3,13596388
Bangladesh,asia,65108544250,0,0,0,0,1,136986432
Brunei,asia,7872333215,0,0,0,0,1,359433
Belarus,europe,23144351852,3,0,2,1,31,9730146
Iran,asia,190043000000,0,0,0,0,10,68951281
Algeria,africa,85324767230,0,0,0,0,33,32692163
El Salvador,americas,13724810900,0,0,0,0,1,6023797
Chile,americas,8553643354,0,0,0,0,4,150716
Puerto Rico,americas,80322313000,0,0,0,0,15,3826878
Belgium,europe,368537000000,0,0,0,0,14,10421137
Thailand,asia,172895000000,2,1,0,1,7,64995299
Haiti,americas,3537720277,0,0,0,0,4,9047077
Iraq,asia,36627901762,0,0,0,0,9,26313838
Hong Kong,asia,169100000000,0,0,0,0,6,6783500
Sierra Leone,africa,1448536631,0,0,0,0,1,5433991
Georgia,asia,5125365192,1,1,0,0,5,3927340
Denmark,europe,251373000000,6,5,0,1,15,5404523
Philippines,asia,91371242495,0,0,0,0,6,84710542
Guinea Bissau,africa,531109356.2,0,0,0,0,1,1313492
Moldova,europe,2598249556,0,0,0,0,12,3603945
Morocco,africa,59626020162,3,2,1,0,35,30115214
Croatia,europe,41594418574,5,3,1,1,31,4304600
Micronesia,australia,240236020.6,0,0,0,0,1,106625
Switzerland,europe,394164000000,0,0,0,0,38,7389625
Grenada,americas,599118592.6,0,0,0,0,1,104347
Belize,americas,1057845500,0,0,0,0,1,276504
Estonia,europe,12144397516,0,0,0,0,10,1362550
Uruguay,americas,13686329890,0,0,0,0,3,3321476
Equatorial Guinea,africa,4410764339,0,0,0,0,1,716949
Lebanon,asia,21145518600,0,0,0,0,2,4569378
Uzbekistan,asia,12030023548,1,1,0,0,23,25864350
Tunisia,africa,31183139301,0,0,0,0,23,10022277
Rwanda,africa,2088961969,0,0,0,0,1,8680524
Timor-Leste,asia,1078373700,0,0,0,0,2,971893
Colombia,americas,117082000000,1,0,0,1,26,42075955
Cyprus,europe,17320552500,0,0,0,0,5,1010408
Barbados,americas,3514350000,0,0,0,0,7,275284
Qatar,asia,31734065934,0,0,0,0,8,753334
Italy,europe,1803230000000,38,11,9,18,174,57685327
Bhutan,asia,702682019,0,0,0,0,1,638815
Sudan,africa,21457470203,0,0,0,0,2,30214193
Nepal,asia,7273938315,0,0,0,0,2,25419344
Malta,europe,6062780269,0,0,0,0,5,401268
Maldives,asia,1226829563,0,0,0,0,1,311265
Suriname,americas,1484092538,0,0,0,0,1,493679
Venezuela,americas,112453000000,1,0,0,1,12,25996594
Netherlands Antilles,americas,919577148.1,0,0,0,0,2,80336
Israel,asia,135477000000,0,0,0,0,10,6809000
Iceland,europe,13834751482,0,0,0,0,12,292074
Zambia,africa,6221077675,0,0,0,0,1,11550642
Senegal,africa,10167441854,0,0,0,0,8,10810083
Papua New Guinea,australia,3927157867,0,0,0,0,1,6354245
Malawi,africa,3476094499,0,0,0,0,3,12301838
Trinidad and Tobago,americas,13280275123,1,0,0,1,16,1290123
Zimbabwe,africa,5805598400,3,1,1,1,10,12019912
Germany,europe,2809190000000,34,8,11,15,120,82516260
Kazakhstan,europe,43151647003,1,1,0,0,21,15012985
Poland,europe,255102000000,0,0,0,0,39,38182222
Kyrgyzstan,asia,2211534585,0,0,0,0,11,5104700
Andorra,europe,2935659300,0,0,0,0,3,76244
Chinise Taipei,asia,605000000000,4,2,1,1,37,22689122
Latvia,europe,14355307662,0,0,0,0,5,2263122
Japan,asia,4815150000000,3,1,0,2,18,127761000
Syria,asia,25086930693,1,0,0,1,4,17827825
Honduras,americas,8772146605,0,0,0,0,1,7282953
Mexico,americas,782241000000,0,0,0,0,27,104514932
Egypt,africa,78845185293,2,0,1,1,36,74172073
Cuba,americas,38203000000,15,7,3,5,52,11250365
South Koreas,asia,764881000000,2,0,1,1,21,48082519
