name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,507354000000,0,0,0,0,39,26791747
Turkey,europe,90852814005,0,0,0,0,10,52053765
Italy,europe,891609000000,1,0,1,0,39,56629288
South Koreas,asia,196964000000,0,0,0,0,8,42031247
Morocco,africa,25705296184,0,0,0,0,2,23903592
France,europe,1018850000000,0,0,0,0,36,57627105
Andorra,europe,721425939.2,0,0,0,0,3,50434
West Germany,europe,1401230000000,1,0,1,0,37,78144619
Argentina,americas,126207000000,0,0,0,0,22,31668949
Bolivia,americas,4597615563,0,0,0,0,5,6580312
Norway,europe,101900000000,3,0,2,1,26,4209488
Australia,australia,235659000000,0,0,0,0,11,16532200
East Germany,europe,1401230000000,7,0,5,2,22,78144619
Guatemala,americas,7841602824,0,0,0,0,10,8842575
United States of America,americas,5236440000000,3,2,0,1,41,244499000
Puerto Rico,americas,26385800000,0,0,0,0,5,3473898
Bulgaria,europe,22555941176,0,0,0,0,14,8981446
Spain,europe,376160000000,0,0,0,0,6,38766939
Netherlands,europe,261911000000,0,0,0,0,6,14760094
Denmark,europe,115553000000,0,0,0,0,1,5129516
Finland,europe,109059000000,2,0,2,0,6,4946481
Chinise Taipei,asia,166000000000,0,0,0,0,6,19954397
Sweden,europe,205292000000,10,0,0,10,31,8436489
Mongolia,asia,3204461567,0,0,0,0,6,2089715
Monaco,europe,2000674667,0,0,0,0,1,29229
Switzerland,europe,209298000000,1,0,0,1,18,6593386
New Zealand,asia,45176811594,0,0,0,0,1,3283400
Soviet Union,asia,554713000000,9,7,1,1,38,146857000
Romania,europe,40809523810,0,0,0,0,9,23057662
Virgin Islands,americas,5236440000000,0,0,0,0,1,244499000
Portugal,europe,56347251114,0,0,0,0,1,10019610
Mexico,americas,181612000000,0,0,0,0,7,80788721
India,asia,296589000000,0,0,0,0,1,837468930
Liechtenstein,europe,1161757671,0,0,0,0,7,28129
United Kingdom,europe,910123000000,0,0,0,0,34,56928327
Austria,europe,133339000000,2,0,0,2,24,7585317
Greece,europe,76261278405,0,0,0,0,2,10036983
Japan,asia,3071680000000,0,0,0,0,10,122613000
Cyprus,europe,4278792597,0,0,0,0,3,736474
