name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Brazil,americas,2455990000000,0,0,0,0,5,202763735
Canada,americas,1801480000000,18,12,5,1,78,35437435
Italy,europe,2159130000000,0,0,0,0,64,60789140
Czech Republic,europe,207818000000,0,0,0,0,29,10525347
Lebanon,asia,48296099502,0,0,0,0,1,6262410
Hungary,europe,140559000000,0,0,0,0,8,9866468
Lithuania,europe,48485169331,0,0,0,0,2,2932367
Mongolia,asia,12226514722,0,0,0,0,2,2940108
France,europe,2852170000000,4,1,1,2,88,66316100
Georgia,asia,17627060089,0,0,0,0,4,3719414
Slovakia,asia,101171000000,0,0,0,0,15,5418649
Ireland,europe,258472000000,0,0,0,0,2,4657740
Monaco,europe,7060236168,0,0,0,0,5,37322
Argentina,americas,526320000000,0,0,0,0,7,42669500
Norway,europe,498410000000,12,7,1,4,55,5137232
Israel,asia,309558000000,0,0,0,0,5,8215700
Australia,australia,1467480000000,1,0,1,0,25,23475686
Iran,asia,434475000000,0,0,0,0,1,77465753
Togo,africa,4568900620,0,0,0,0,3,7137997
Iceland,europe,17758089312,0,0,0,0,4,327386
United States of America,americas,17521700000000,22,4,10,8,127,318386421
Slovenia,europe,49930685013,0,0,0,0,16,2061980
Virgin Islands,americas,17521700000000,0,0,0,0,2,318386421
Germany,europe,3883920000000,4,2,1,1,66,80982500
Belgium,europe,534678000000,0,0,0,0,1,11209057
China,asia,10438500000000,1,0,0,1,6,1364270000
Kazakhstan,europe,221416000000,0,0,0,0,23,17288285
Poland,europe,545389000000,3,1,1,1,21,38011735
Spain,europe,1369400000000,0,0,0,0,9,46480882
Ukraine,europe,133503000000,1,1,0,0,19,45271947
Tonga,australia,443911052.3,0,0,0,0,1,101028
Netherlands,europe,890981000000,7,2,1,4,14,16865008
Denmark,europe,352994000000,0,0,0,0,1,5643475
Turkey,europe,934186000000,0,0,0,0,6,77231907
Finland,europe,274497000000,2,0,0,2,6,5461512
Macedonia,europe,11362272838,0,0,0,0,3,2077775
Moldova,europe,9510219299,0,0,0,0,2,3556397
Chinise Taipei,asia,1080000000000,0,0,0,0,2,23433753
Sweden,europe,580249000000,10,0,9,1,31,9696110
Belarus,europe,78813839984,3,3,0,0,29,9474511
British Virgin Islands,americas,3063800000000,0,0,0,0,1,64613160
Russian Federation,europe,2059980000000,11,4,5,2,60,143819666
Switzerland,europe,709182000000,8,2,1,5,51,8188649
New Zealand,asia,200834000000,0,0,0,0,5,4509700
Bulgaria,europe,56814543481,0,0,0,0,9,7223938
Serbia,europe,47062206678,0,0,0,0,1,7130576
Jamaica,americas,13897804560,0,0,0,0,1,2875136
Romania,europe,199627000000,0,0,0,0,12,19908979
Estonia,europe,26773472962,0,0,0,0,2,1314545
Portugal,europe,229596000000,0,0,0,0,2,10401062
Croatia,europe,57642879510,0,0,0,0,5,4238389
South Koreas,asia,1411330000000,0,0,0,0,8,50746659
Azerbaijan,asia,75244294275,0,0,0,0,2,9535079
Peru,americas,200789000000,0,0,0,0,1,30090359
United Kingdom,europe,3063800000000,3,0,2,1,22,64613160
Austria,europe,441996000000,4,1,1,2,23,8546356
Latvia,europe,31382780146,2,0,2,0,15,1993782
Dominica,americas,520207407.4,0,0,0,0,1,71085
Greece,europe,237030000000,0,0,0,0,1,10892413
Japan,asia,4850410000000,0,0,0,0,6,127276000
Montenegro,europe,4587928884,0,0,0,0,1,621810
