name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,592388000000,13,2,8,3,61,28371264
Brazil,americas,400599000000,0,0,0,0,7,154259380
Italy,europe,1320160000000,8,2,4,2,49,56797087
India,asia,288208000000,0,0,0,0,2,909307016
Monaco,europe,2737067002,0,0,0,0,3,29865
Costa Rica,americas,8528593421,0,0,0,0,2,3286520
Morocco,africa,33711069431,0,0,0,0,7,25711406
France,europe,1401470000000,5,2,3,0,63,58851217
Andorra,europe,1210013652,0,0,0,0,3,58888
Argentina,americas,228789000000,0,0,0,0,21,33529326
Bolivia,americas,5643893347,0,0,0,0,6,7160920
Norway,europe,130838000000,5,1,3,1,33,4286401
Australia,australia,324879000000,0,0,0,0,9,17495000
Algeria,africa,48003298223,0,0,0,0,2,27028326
Slovenia,europe,13101056604,0,0,0,0,7,1996498
Iceland,europe,7091625419,0,0,0,0,6,261057
United States of America,americas,6520330000000,4,2,1,1,57,256514000
Union of Soviet Socialist Republics,asia,460291000000,12,7,2,3,46,148689000
Virgin Islands,americas,6520330000000,0,0,0,0,8,256514000
Germany,europe,2131570000000,6,2,2,2,40,80624598
Puerto Rico,americas,34630430000,0,0,0,0,3,3585176
Belgium,europe,234782000000,0,0,0,0,5,10045158
China,asia,426916000000,0,0,0,0,3,1164970000
Spain,europe,630916000000,0,0,0,0,13,39157685
Lebanon,asia,5843579161,0,0,0,0,2,3076132
Netherlands,europe,362963000000,0,0,0,0,4,15184166
Denmark,europe,152916000000,0,0,0,0,3,5171370
Turkey,europe,158459000000,0,0,0,0,8,55748948
Finland,europe,112533000000,1,0,0,1,5,5041992
Chinise Taipei,asia,254000000000,0,0,0,0,7,20802622
Sweden,europe,281993000000,1,0,0,1,22,8668067
Mongolia,asia,1317611864,0,0,0,0,2,2243495
Hungary,europe,38730585921,0,0,0,0,22,10369341
Switzerland,europe,271814000000,2,1,0,1,32,6875364
New Zealand,asia,41649829860,1,0,1,0,1,3531700
Bulgaria,europe,10350515464,0,0,0,0,30,8540164
Romania,europe,25121666667,0,0,0,0,18,22794284
Mexico,americas,363158000000,0,0,0,0,17,87075138
South Koreas,asia,350051000000,0,0,0,0,9,43747962
Liechtenstein,europe,1631197909,0,0,0,0,2,29553
United Kingdom,europe,1179660000000,0,0,0,0,33,57580402
Austria,europe,195078000000,1,1,0,0,14,7840709
Greece,europe,116225000000,0,0,0,0,5,10399061
Japan,asia,3908810000000,1,0,0,1,8,124229000
Cyprus,europe,6912150456,0,0,0,0,3,800611
