name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,742295000000,9,0,1,8,122,30685730
Turkmenistan,asia,2904662605,0,0,0,0,3,4516133
Lithuania,europe,11539211480,3,1,0,2,9,3499536
Ethiopia,africa,8242392104,1,1,0,0,10,66224804
Aruba,americas,1873452514,0,0,0,0,1,90853
Swaziland,africa,1738100848,0,0,0,0,3,1005435
Argentina,americas,284204000000,8,0,5,3,49,36870787
Bolivia,americas,8397912509,0,0,0,0,2,8418264
Cameroon,africa,10083937740,7,7,0,0,15,15513945
Ghana,africa,4983024408,0,0,0,0,10,19278856
Saudi Arabia,asia,189515000000,2,0,1,1,21,20663843
Cape Verde,africa,539227277.6,0,0,0,0,1,428188
Slovenia,europe,20289627637,2,2,0,0,14,1988925
Guatemala,americas,19288827159,0,0,0,0,2,11650743
Guinea,africa,2995360969,0,0,0,0,3,8240730
Russian Federation,europe,259710000000,29,7,12,10,111,146596557
Jordan,asia,8579280677,0,0,0,0,5,5122493
Spain,europe,596878000000,11,1,6,4,145,40567864
Liberia,africa,874000000,0,0,0,0,5,2848456
Netherlands,europe,416443000000,18,9,5,4,68,15925513
Paraguay,americas,8855705140,0,0,0,0,2,5323201
Jamaica,americas,8985352832,4,0,4,0,15,2654701
Oman,asia,19507412224,0,0,0,0,8,2267973
Tanzania,africa,13375976354,0,0,0,0,1,33499180
Gabon,africa,5067865321,0,0,0,0,3,1228360
Monaco,europe,2647883816,0,0,0,0,2,32147
New Zealand,asia,52623281957,0,0,0,0,45,3857700
Yemen,asia,9652436180,0,0,0,0,1,17409072
Pakistan,asia,73952374970,0,0,0,0,9,142343578
United Arab Emirates,asia,104337000000,0,0,0,0,5,3134062
India,asia,468395000000,0,0,0,0,15,1056575549
Azerbaijan,asia,5272617196,1,1,0,0,12,8048600
Madagascar,asia,3877673539,0,0,0,0,1,15766806
Saint Vincent and the Grenadines,americas,396261370.4,0,0,0,0,1,107784
Kenya,africa,12705357103,2,0,1,1,15,31964557
Tajikistan,asia,860521119.3,0,0,0,0,1,6216341
Turkey,europe,272979000000,2,0,0,2,26,63240194
Czech Republic,europe,61649492817,0,0,0,0,37,10255063
Andorra,europe,1434429703,0,0,0,0,2,65390
Eritrea,africa,706370815.6,0,0,0,0,1,2292416
San Marino,europe,1101897918,0,0,0,0,1,27462
Mongolia,asia,1136896124,0,0,0,0,8,2397418
France,europe,1362250000000,21,9,6,6,164,60912500
