name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,578139000000,11,3,6,2,43,29000663
Italy,europe,1099220000000,13,7,2,4,60,56843400
Czech Republic,europe,47554674591,0,0,0,0,24,10333587
Hungary,europe,43166678731,0,0,0,0,14,10343355
Mongolia,asia,925817092.2,0,0,0,0,2,2280479
France,europe,1393980000000,6,0,1,5,58,59327192
Andorra,europe,1017549124,0,0,0,0,4,62677
Georgia,asia,2513870587,0,0,0,0,3,4836076
Slovakia,asia,20162935817,0,0,0,0,15,5346331
Monaco,europe,2720297793,0,0,0,0,4,30435
Argentina,americas,257440000000,0,0,0,0,3,34402672
Norway,europe,127131000000,9,2,6,1,41,4336613
Uzbekistan,asia,12899156991,1,1,0,0,2,22377000
Australia,australia,322212000000,1,0,0,1,16,17855000
Iceland,europe,6399064571,0,0,0,0,3,266021
United States of America,americas,7287240000000,5,2,2,1,61,263126000
Slovenia,europe,15049621395,1,0,0,1,5,1989443
Virgin Islands,americas,7287240000000,0,0,0,0,2,263126000
Germany,europe,2205070000000,11,3,5,3,51,81438348
Bosnia and Herzegovina,europe,1255802469,0,0,0,0,5,3936524
Armenia,asia,1315158670,0,0,0,0,1,3283667
Puerto Rico,americas,39690630000,0,0,0,0,4,3649237
Belgium,europe,244884000000,0,0,0,0,3,10115603
China,asia,564325000000,1,0,0,1,1,1191835000
Kazakhstan,europe,21250839258,0,0,0,0,10,16095199
Spain,europe,530563000000,0,0,0,0,5,39549108
Ukraine,europe,52549555149,1,1,0,0,12,51921041
Netherlands,europe,379130000000,0,0,0,0,13,15382838
Denmark,europe,156162000000,0,0,0,0,4,5206180
Finland,europe,103300000000,1,0,0,1,8,5088333
Chinise Taipei,asia,305000000000,0,0,0,0,1,21177874
Sweden,europe,227272000000,6,6,0,0,31,8780745
Belarus,europe,14932024169,0,0,0,0,7,10227000
Russian Federation,europe,395077000000,5,2,3,0,51,148336000
Switzerland,europe,292647000000,4,1,2,1,36,6993795
New Zealand,asia,55314732279,0,0,0,0,1,3620000
Bulgaria,europe,9697416974,0,0,0,0,12,8443591
Romania,europe,30074440483,0,0,0,0,19,22730211
Estonia,europe,4116735207,0,0,0,0,1,1462514
South Koreas,asia,455603000000,2,1,1,0,9,44641540
Liechtenstein,europe,1948118228,0,0,0,0,5,30426
United Kingdom,europe,1140490000000,1,0,0,1,16,57865745
Austria,europe,203535000000,1,0,1,0,23,7936118
Greece,europe,116602000000,0,0,0,0,3,10512922
Japan,asia,4907040000000,1,1,0,0,9,124961000.0
