name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,507354000000,4,1,1,2,139,26791747
The Gambia,africa,266673126.2,0,0,0,0,1,873444
Swaziland,africa,692016714.3,0,0,0,0,4,773768
Argentina,americas,126207000000,6,0,0,6,42,31668949
Bolivia,americas,4597615563,0,0,0,0,8,6580312
Cameroon,africa,12493286762,0,0,0,0,4,11075422
Ghana,africa,5197840979,0,0,0,0,7,13947042
Saudi Arabia,asia,88256074766,0,0,0,0,12,15070082
Guatemala,americas,7841602824,0,0,0,0,7,8842575
Guinea,africa,2384295764,0,0,0,0,4,5982486
Spain,europe,376160000000,2,1,1,0,76,38766939
Netherlands,europe,261911000000,14,0,1,13,68,14760094
Paraguay,americas,4255683528,0,0,0,0,7,4001681
Jamaica,americas,3828310735,3,0,3,0,11,2389411
Oman,asia,8386215865,0,0,0,0,13,1678110
Tanzania,africa,5100405772,0,0,0,0,3,23670808
Gabon,africa,3834503378,0,0,0,0,1,898469
Monaco,europe,2000674667,0,0,0,0,5,29229
New Zealand,asia,45176811594,3,0,0,3,34,3283400
Pakistan,asia,38472741737,0,0,0,0,14,101389603
Samoa,australia,133016065.4,0,0,0,0,2,161376
United Arab Emirates,asia,36275674203,0,0,0,0,24,1627066
India,asia,296589000000,0,0,0,0,12,837468930
Saint Vincent and the Grenadines,americas,200726712.6,0,0,0,0,2,106532
Kenya,africa,8355380879,1,1,0,0,14,22153676
Turkey,europe,90852814005,0,0,0,0,26,52053765
West Germany,europe,1401230000000,20,8,9,3,106,78144619
Solomon Islands,australia,310684273.7,0,0,0,0,1,294972
Mongolia,asia,3204461567,0,0,0,0,7,2089715
France,europe,1018850000000,11,3,2,6,156,57627105
Rwanda,africa,2395493878,0,0,0,0,1,7088191
Somalia,africa,1038291284,0,0,0,0,2,7005234
Peru,americas,15439408447,2,0,2,0,5,21153459
Vanuatu,australia,148545381.4,0,0,0,0,2,139315
Republic of Congo,africa,8861299977,0,0,0,0,4,32443781
Norway,europe,101900000000,5,0,5,0,18,4209488
Cote d'Ivoire,africa,10255170460,0,0,0,0,7,11094748
Benin,africa,1620246187,0,0,0,0,7,4672852
Singapore,asia,25371462488,0,0,0,0,6,2846108
United States of America,americas,5236440000000,65,29,26,10,192,244499000
Togo,africa,1378847487,0,0,0,0,2,3577468
Virgin Islands,americas,5236440000000,0,0,0,0,11,244499000
China,asia,312354000000,4,2,1,1,44,1101630000
Dominican Republic,americas,5374314928,0,0,0,0,6,6863441
Finland,europe,109059000000,0,0,0,0,5,4946481
Indonesia,asia,84300174477,0,0,0,0,9,174975954
Central African Republic,africa,1264899368,0,0,0,0,2,2693973
Mauritius,africa,2134517068,0,0,0,0,2,1043239
Sweden,europe,205292000000,4,0,2,2,62,8436489
Vietnam,asia,25423812649,0,0,0,0,2,65120439
British Virgin Islands,americas,910123000000,0,0,0,0,1,56928327
Mali,africa,2169040742,0,0,0,0,7,8171522
Bulgaria,europe,22555941176,7,2,3,2,45,8981446
Romania,europe,40809523810,16,2,8,6,43,23057662
Angola,africa,8769250550,0,0,0,0,9,11068050
Portugal,europe,56347251114,0,0,0,0,40,10019610
Trinidad and Tobago,americas,4496852073,0,0,0,0,5,1204153
Fiji,australia,1109976928,0,0,0,0,13,722930
Brunei Darussalam,asia,2690717551,0,0,0,0,5,244404
Senegal,africa,6311054901,1,0,1,0,12,7086627
Uganda,africa,6508931652,0,0,0,0,4,16180124
Japan,asia,3071680000000,0,0,0,0,20,122613000
Niger,africa,2280356338,0,0,0,0,1,7548433
Malasya,asia,35271880250,0,0,0,0,6,17022465
Brazil,americas,330397000000,10,0,9,1,64,143627503
Kuwait,asia,20692472760,0,0,0,0,28,2034857
Panama,americas,5902783400,0,0,0,0,1,2368551
Costa Rica,americas,4614629898,0,0,0,0,8,2960929
Luxembourg,europe,9750161053,0,0,0,0,5,373450
Bahamas,americas,2817900000,0,0,0,0,5,247451
Ireland,europe,37818133293,0,0,0,0,19,3524949
Nigeria,africa,2280356338,0,0,0,0,30,7548433
Ecuador,americas,13051886552,0,0,0,0,2,9755579
Bangladesh,asia,26579005760,0,0,0,0,4,98186350
Australia,australia,235659000000,13,9,3,1,101,16532200
Iran,asia,123058000000,0,0,0,0,9,53077313
Algeria,africa,59089067187,0,0,0,0,24,24443467
El Salvador,americas,4189880000,0,0,0,0,1,5133274
Puerto Rico,americas,26385800000,0,0,0,0,13,3473898
Belgium,europe,162299000000,0,0,0,0,35,9901664
Thailand,asia,61667199835,0,0,0,0,1,54891520
Haiti,americas,2613926800,0,0,0,0,1,6758223
Iraq,asia,62503055645,0,0,0,0,6,16612322
Hong Kong,asia,59707404561,0,0,0,0,12,5627600
Sierra Leone,africa,1055083945,0,0,0,0,4,4156634
Denmark,europe,115553000000,2,1,0,1,17,5129516
Philippines,asia,37885440419,0,0,0,0,21,58795001
Morocco,africa,25705296184,3,1,0,2,12,23903592
Switzerland,europe,209298000000,1,0,1,0,47,6593386
Grenada,americas,236357523.7,0,0,0,0,1,98120
Belize,americas,320093360.3,0,0,0,0,1,179028
Uruguay,americas,8213515459,0,0,0,0,7,3068705
Equatorial Guinea,africa,100534663.3,0,0,0,0,4,394961
Lebanon,asia,3313540068,0,0,0,0,13,2684675
Tunisia,africa,10096292842,0,0,0,0,22,7880332
Bermuda,americas,1415100032,0,0,0,0,6,58347
Colombia,americas,39212550050,0,0,0,0,17,31822525
Cyprus,europe,4278792597,0,0,0,0,2,736474
Barbados,americas,1540893949,0,0,0,0,5,258977
Qatar,asia,6038187033,0,0,0,0,4,443605
Italy,europe,891609000000,12,6,2,4,137,56629288
Bhutan,asia,283855833.3,0,0,0,0,2,509540
Sudan,africa,15399166667,0,0,0,0,1,18867560
Liechtenstein,europe,1161757671,0,0,0,0,6,28129
Nepal,asia,3487009748,0,0,0,0,4,18020753
Malta,europe,2019474244,0,0,0,0,1,347325
Maldives,asia,168610478.4,0,0,0,0,5,209785
Suriname,americas,1161000000,0,0,0,0,3,388881
Venezuela,americas,60226413793,0,0,0,0,5,18698847
Netherlands Antilles,americas,398637727.8,0,0,0,0,6,61771
Israel,asia,50099381786,0,0,0,0,5,4442000
Iceland,europe,6115814935,0,0,0,0,7,249740
Zambia,africa,3713614458,0,0,0,0,15,7598275
East Germany,europe,1401230000000,30,8,8,14,69,78144619
Austria,europe,133339000000,0,0,0,0,24,7585317
Papua New Guinea,australia,3655979702,0,0,0,0,6,4399324
Malawi,africa,1379924257,0,0,0,0,5,8636690
Zimbabwe,africa,7814784100,0,0,0,0,9,9849125
Jordan,asia,6277197435,0,0,0,0,6,3256558
Mauritania,africa,957377548.5,0,0,0,0,2,1930433
Chinise Taipei,asia,166000000000,0,0,0,0,47,19954397
Guyana,americas,413799990,0,0,0,0,5,750639
Syria,asia,10577042355,0,0,0,0,6,11719071
Soviet Union,asia,554713000000,58,27,15,16,130,146857000
Honduras,americas,5902717092,0,0,0,0,8,4677024
Mexico,americas,181612000000,0,0,0,0,50,80788721
Egypt,africa,34980124929,0,0,0,0,30,53399246
South Koreas,asia,196964000000,6,0,4,2,47,42031247
United Kingdom,europe,910123000000,13,6,6,1,153,56928327
Congo,africa,8861299977,0,0,0,0,6,32443781
Greece,europe,76261278405,0,0,0,0,9,10036983
Sri Lanka,asia,6978371581,0,0,0,0,6,16878189
