name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Brazil,americas,2208870000000,0,0,0,0,1,195713635
Canada,americas,1613540000000,19,13,4,2,63,34004889
Italy,europe,2134020000000,0,0,0,0,49,59277417
Czech Republic,europe,207478000000,2,0,0,2,31,10474410
Lebanon,asia,38419626534,0,0,0,0,3,4953061
Monaco,europe,5362649007,0,0,0,0,4,35612
San Marino,europe,2139072848,0,0,0,0,1,31229
Mongolia,asia,7189481824,0,0,0,0,1,2719896
France,europe,2642610000000,8,0,5,3,83,65027507
Georgia,asia,12243505583,0,0,0,0,2,3786695
Slovakia,asia,90183986822,0,0,0,0,25,5391428
Ireland,europe,222149000000,0,0,0,0,2,4560155
Norway,europe,428757000000,14,6,4,4,46,4889252
Australia,australia,1146140000000,2,1,1,0,19,22031750
Iceland,europe,13683689802,0,0,0,0,2,318041
United States of America,americas,14992100000000,25,2,15,8,96,309326085
Slovenia,europe,48161250935,0,0,0,0,22,2048583
China,asia,6087160000000,0,0,0,0,3,1337705000
Russian Federation,europe,1524920000000,4,1,0,3,36,142849449
Germany,europe,3396350000000,7,2,4,1,42,81776930
Kazakhstan,europe,148047000000,0,0,0,0,21,16321872
Poland,europe,479321000000,0,0,0,0,14,38042794
Spain,europe,1420720000000,0,0,0,0,5,46576897
Ukraine,europe,136013000000,0,0,0,0,19,45870700
Netherlands,europe,846555000000,2,0,0,2,10,16615394
Denmark,europe,321995000000,0,0,0,0,4,5547683
Turkey,europe,771902000000,0,0,0,0,5,72326988
Finland,europe,249181000000,1,0,0,1,6,5363352
Macedonia,europe,9407168702,0,0,0,0,1,2070741
Moldova,europe,6974960426,0,0,0,0,2,3562045
Morocco,africa,93216746662,0,0,0,0,2,32343389
Sweden,europe,495329000000,0,0,0,0,28,9378126
Belarus,europe,58665088956,1,0,0,1,21,9490583
Croatia,europe,59807966533,0,0,0,0,2,4295427
Hungary,europe,131136000000,0,0,0,0,14,10000023
Switzerland,europe,583783000000,5,4,0,1,32,7824909
New Zealand,asia,146584000000,0,0,0,0,7,4350700
Bulgaria,europe,50610058210,0,0,0,0,6,7395599
Pakistan,asia,177166000000,0,0,0,0,1,179424641
Romania,europe,166225000000,0,0,0,0,8,20246871
Estonia,europe,19685033799,0,0,0,0,1,1331475
Liechtenstein,europe,5082366478,0,0,0,0,3,35994
South Koreas,asia,1094500000000,0,0,0,0,5,49554112
Azerbaijan,asia,52902703376,0,0,0,0,2,9054332
Peru,americas,147529000000,0,0,0,0,1,29027674
United Kingdom,europe,2475240000000,0,0,0,0,25,62766365
Austria,europe,391893000000,1,0,1,0,10,8363404
Latvia,europe,23796118301,1,0,1,0,17,2097555
Colombia,americas,286104000000,0,0,0,0,2,45222700
Greece,europe,299362000000,0,0,0,0,3,11121341
Japan,asia,5700100000000,1,0,1,0,11,128070000
Tajikistan,asia,5642178580,0,0,0,0,4,7527394
