name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,757951000000,16,11,2,3,50,31360079
Brazil,americas,507962000000,0,0,0,0,3,179537520
Italy,europe,1270710000000,8,2,5,1,49,57059007
Czech Republic,europe,81910771994,0,0,0,0,34,10196916
Kenya,africa,13147743911,0,0,0,0,2,33751739
Hungary,europe,67608919144,0,0,0,0,8,10158608
Lithuania,europe,14278357284,0,0,0,0,3,3443067
Mongolia,asia,1396555720,0,0,0,0,2,2443271
France,europe,1494290000000,4,2,1,1,69,61805267
Andorra,europe,1733116883,0,0,0,0,2,70049
Georgia,asia,3395728014,0,0,0,0,2,3978515
Slovakia,asia,35130340674,0,0,0,0,14,5376912
Ireland,europe,127950000000,0,0,0,0,1,3931947
Monaco,europe,2905840862,0,0,0,0,1,32806
Argentina,americas,97724004252,0,0,0,0,3,37681749
Norway,europe,195524000000,16,13,3,0,55,4538159
Israel,asia,121124000000,0,0,0,0,5,6570000
Australia,australia,394649000000,2,2,0,0,17,19651400
Venezuela,americas,92893587734,0,0,0,0,2,25100408
United States of America,americas,10936400000000,18,2,14,2,65,287625193
Slovenia,europe,23489889975,0,0,0,0,14,1994530
Trinidad and Tobago,americas,9008273721,0,0,0,0,1,1277213
Virgin Islands,americas,10936400000000,0,0,0,0,3,287625193
Germany,europe,2068620000000,12,4,3,5,50,82488495
Bosnia and Herzegovina,europe,6651106833,0,0,0,0,4,3759387
Chile,americas,6663669065,0,0,0,0,2,149596
Belgium,europe,257158000000,0,0,0,0,3,10332785
China,asia,1470550000000,1,0,0,1,4,1280400000
Kazakhstan,europe,24636593223,0,0,0,0,21,14858948
Poland,europe,198681000000,0,0,0,0,3,38230364
Ukraine,europe,42351593887,0,0,0,0,15,48202500
Kyrgyzstan,asia,1605643105,0,0,0,0,2,4990700
Netherlands,europe,471614000000,1,0,1,0,10,16148929
Armenia,asia,2376335048,0,0,0,0,1,3033978
Denmark,europe,178635000000,0,0,0,0,2,5375931
Turkey,europe,238428000000,0,0,0,0,3,65145367
Finland,europe,139738000000,1,0,1,0,11,5200598
Macedonia,europe,4018365247,0,0,0,0,2,2048928
Moldova,europe,1661818168,0,0,0,0,5,3623062
Chinise Taipei,asia,521000000000,0,0,0,0,3,22520776
Sweden,europe,265336000000,9,0,0,9,42,8924958
Belarus,europe,14594249023,0,0,0,0,16,9865548
Croatia,europe,26815719603,0,0,0,0,1,4302174
Russian Federation,europe,345470000000,10,2,2,6,56,145306046
Switzerland,europe,301417000000,8,2,3,3,53,7284753
New Zealand,asia,66627729311,0,0,0,0,3,3948500
Bulgaria,europe,16276456428,0,0,0,0,16,7837161
Jamaica,americas,9694169757,0,0,0,0,1,2692845
Romania,europe,46066101951,0,0,0,0,12,21730496
Estonia,europe,7372457191,0,0,0,0,7,1379350
Mexico,americas,772106000000,0,0,0,0,1,101684758
South Koreas,asia,609020000000,3,2,1,0,24,47644736
Liechtenstein,europe,2688630823,0,0,0,0,3,33879
United Kingdom,europe,1784470000000,1,0,0,1,24,59370479
Iceland,europe,9294651863,0,0,0,0,3,287523
Austria,europe,213378000000,5,1,2,2,21,8081957
Latvia,europe,9529948840,0,0,0,0,19,2310173
Greece,europe,153831000000,0,0,0,0,5,10902022
Japan,asia,4115120000000,0,0,0,0,7,127445000
Tajikistan,asia,1221120799,0,0,0,0,2,6426867
