name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,628546000000,12,4,6,2,121,29610218
Fiji,australia,2129266728,0,0,0,0,6,784386
Turkmenistan,asia,2378759975,0,0,0,0,1,4287346
Lao PDR,asia,1873671550,0,0,0,0,1,4951195
Lithuania,europe,8385109020,1,0,0,1,10,3601613
Ethiopia,africa,8547939731,0,0,0,0,9,58883530
The Gambia,africa,848237108.6,0,0,0,0,2,1164091
Aruba,americas,1379960894,0,0,0,0,1,83200
Sri Lanka,asia,13897738375,0,0,0,0,2,18367288
Argentina,americas,272150000000,10,0,9,1,71,35246374
Bolivia,americas,7396966657,0,0,0,0,3,7779267
Cameroon,africa,10513387442,0,0,0,0,4,13970813
Ghana,africa,6934984709,0,0,0,0,18,17462496
Saudi Arabia,asia,158662000000,0,0,0,0,29,19033845
Cape Verde,africa,501979069.3,0,0,0,0,2,395533
Slovenia,europe,21507233003,1,0,1,0,13,1988628
Guatemala,americas,15674835615,0,0,0,0,4,10646674
Bosnia and Herzegovina,europe,2786045322,0,0,0,0,2,3764425
Guinea,africa,3869032271,0,0,0,0,1,7463782
Russian Federation,europe,391725000000,13,3,4,6,69,148160042
Jordan,asia,7024203103,0,0,0,0,2,4732854
Spain,europe,642589000000,20,6,11,3,114,39889852
Netherlands,europe,450490000000,17,10,2,5,69,15530498
Jamaica,americas,7368000000,4,0,1,3,16,2558637
Oman,asia,15277763329,0,0,0,0,5,2236654
Gabon,africa,5694040337,0,0,0,0,5,1112955
Monaco,europe,3137848801,0,0,0,0,1,30995
New Zealand,asia,70140835299,1,0,1,0,35,3732000
Yemen,asia,5785685311,0,0,0,0,4,15469274
Pakistan,asia,63320122807,0,0,0,0,8,127349290
Albania,europe,3199642580,0,0,0,0,1,3168033
United Arab Emirates,asia,73571233996,0,0,0,0,3,2539126
India,asia,392897000000,0,0,0,0,13,982365243
Azerbaijan,asia,3176703092,1,0,1,0,9,7763000
Saint Vincent and the Grenadines,americas,331489703.7,0,0,0,0,6,107976
Kenya,africa,12045858436,1,0,1,0,14,28589451
Tajikistan,asia,1043654822,0,0,0,0,3,5851355
Turkey,europe,181476000000,2,1,1,0,24,59423282
Czech Republic,europe,66985765439,3,2,0,1,29,10315241
Andorra,europe,1223945357,0,0,0,0,2,64360
Solomon Islands,australia,565163750.6,0,0,0,0,1,369523
Saint Lucia,americas,705672777.8,0,0,0,0,2,148834
Mongolia,asia,1345719472,1,0,0,1,8,2316568
France,europe,1605680000000,20,9,4,7,172,59753100
Bermuda,americas,2695390000,0,0,0,0,5,60129
Slovakia,asia,27925036755,0,0,0,0,11,5373361
Peru,americas,55252414130,0,0,0,0,14,24753824
Republic of Congo,africa,5771454940,0,0,0,0,1,42757243
Norway,europe,163520000000,5,0,0,5,27,4381336
Cote d'Ivoire,africa,12139234939,0,0,0,0,4,14665127
Benin,africa,2361116588,0,0,0,0,5,6094259
Singapore,asia,96295886525,0,0,0,0,2,3670704
United States of America,americas,8073120000000,64,35,13,16,207,269394000
Saint Kitts and Nevis,americas,333946111.1,0,0,0,0,4,42475
Togo,africa,1465448290,0,0,0,0,4,4348805
Virgin Islands,americas,8073120000000,0,0,0,0,3,269394000
China,asia,863747000000,12,2,8,2,53,1217550000
Armenia,asia,1596968913,0,0,0,0,6,3168221
Dominican Republic,americas,18241691857,0,0,0,0,2,7952763
Ukraine,europe,44558077827,3,1,0,2,45,51057189
Finland,europe,132129000000,1,0,1,0,8,5124573
Libya,africa,27884615385,0,0,0,0,3,5036171
Indonesia,asia,227370000000,1,0,0,1,14,199901228
Central African Republic,africa,1007791186,0,0,0,0,2,3308233
Mauritius,africa,4421943910,0,0,0,0,13,1133996
Sweden,europe,289756000000,6,1,3,2,60,8840998
Australia,australia,400303000000,31,5,2,24,116,18311000
British Virgin Islands,americas,1415360000000,0,0,0,0,3,58166950
Mali,africa,2780422212,0,0,0,0,3,9837571
Bulgaria,europe,12184935357,4,1,2,1,26,8362826
Romania,europe,36937074278,11,3,4,4,82,22619004
Angola,africa,7526446606,0,0,0,0,11,14400719
Portugal,europe,122630000000,1,0,0,1,48,10063945
