name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,1549130000000,11,1,5,5,107,33247118
Sao Tome and Principe,africa,188021168.8,0,0,0,0,2,171120
Fiji,australia,3523185920,0,0,0,0,1,845361
Turkmenistan,asia,19271523179,0,0,0,0,3,4935767
Lao PDR,asia,5443915121,0,0,0,0,1,6046620
Lithuania,europe,47850551149,1,0,0,1,10,3198231
Ethiopia,africa,27066912635,5,4,0,1,16,82916235
Swaziland,africa,3294093360,0,0,0,0,2,1049945
Argentina,americas,361558000000,12,6,0,6,57,40080160
Bolivia,americas,16674324634,0,0,0,0,1,9721454
Cameroon,africa,26409781215,0,0,0,0,12,19252666
Ghana,africa,28526891010,0,0,0,0,3,23563825
Saudi Arabia,asia,519797000000,0,0,0,0,16,25888541
Cape Verde,africa,1789333749,0,0,0,0,1,480842
Slovenia,europe,55552508715,1,0,0,1,13,2021316
Guatemala,americas,39136436614,0,0,0,0,2,14006428
Bosnia and Herzegovina,europe,19112739664,0,0,0,0,1,3754271
Guinea,africa,6964179194,0,0,0,0,3,9738792
Russian Federation,europe,1660850000000,26,10,7,9,119,142742350
Jordan,asia,22279907003,0,0,0,0,4,6556478
Spain,europe,1625220000000,20,2,12,6,109,45954106
Liberia,africa,1726000000,0,0,0,0,3,3607860
Netherlands,europe,947998000000,14,8,5,1,70,16445593
Jamaica,americas,13680482787,3,3,0,0,21,2781876
Oman,asia,60905331599,0,0,0,0,4,2750963
Tanzania,africa,27941177435,0,0,0,0,1,41853944
Gabon,africa,15508574820,0,0,0,0,2,1518540
Monaco,europe,6476490406,0,0,0,0,1,34872
New Zealand,asia,133280000000,8,4,0,4,56,4259800
Yemen,asia,26910851362,0,0,0,0,6,21892146
Pakistan,asia,170078000000,0,0,0,0,8,171648986
Albania,europe,12881353985,0,0,0,0,2,2947314
Samoa,australia,619260721.6,0,0,0,0,4,183263
United Arab Emirates,asia,315475000000,0,0,0,0,8,7089487
Guam,Oceania,4621000000,0,0,0,0,4,159036
India,asia,1198900000000,1,1,0,0,11,1200669765
Azerbaijan,asia,48852482960,1,0,1,0,8,8763400
Madagascar,asia,10725137931,0,0,0,0,1,19996473
Saint Vincent and the Grenadines,americas,695428851.9,0,0,0,0,1,108393
Kenya,africa,35895153328,1,1,0,0,12,39791981
Tajikistan,asia,5161337336,2,0,1,1,8,7209930
Turkey,europe,764336000000,2,0,1,1,28,70418604
Afghanistan,asia,10109218068,0,0,0,0,2,27722276
Czech Republic,europe,235719000000,0,0,0,0,20,10384603
Eritrea,africa,1380188800,0,0,0,0,2,3062779
Saint Lucia,americas,1286720333,0,0,0,0,2,170011
San Marino,europe,2752307016,0,0,0,0,2,30434
Mongolia,asia,5623216449,1,1,0,0,11,2631898
France,europe,2918380000000,34,7,10,17,152,64374984
Bermuda,americas,6109928000,0,0,0,0,3,65273
Slovakia,asia,100470000000,0,0,0,0,8,5379233
Peru,americas,120551000000,0,0,0,0,4,28562317
Republic of Congo,africa,19788515874,0,0,0,0,1,60411195
Nauru,australia,392913163,0,0,0,0,1,9891
Norway,europe,462250000000,3,2,1,0,18,4768212
Cote d'Ivoire,africa,24224903100,0,0,0,0,13,19605569
Benin,africa,7132787397,0,0,0,0,1,8696921
Singapore,asia,193612000000,0,0,0,0,1,4839396
United States of America,americas,14712800000000,72,26,24,22,182,304093966
Saint Kitts and Nevis,americas,793368444.4,0,0,0,0,2,48185
Togo,africa,3310277927,1,0,0,1,2,6083420
