name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,1823970000000,14,0,8,6,87,34714222
Sao Tome and Principe,africa,252560556,0,0,0,0,1,188404
Fiji,australia,3972012571,0,0,0,0,5,865069
Turkmenistan,asia,35164210526,0,0,0,0,1,5267900
Montenegro,europe,4087725813,4,0,4,0,8,620601
Lithuania,europe,42826586830,1,1,0,0,9,2987773
Cambodia,asia,14054443213,0,0,0,0,1,14780454
Ethiopia,africa,43310721414,5,2,0,3,17,92726971
The Gambia,africa,1415006238,0,0,0,0,1,1905011
Argentina,americas,545982000000,8,1,4,3,44,41733271
Bolivia,americas,27084497540,0,0,0,0,1,10377676
Cameroon,africa,29104437355,0,0,0,0,14,21485266
Ghana,africa,41939728979,0,0,0,0,3,25996449
Saudi Arabia,asia,735975000000,3,0,0,3,15,29155187
Slovenia,europe,46580457470,2,0,0,2,20,2057159
Guatemala,americas,50388460925,1,0,1,0,8,15270778
Guinea,africa,7638045254,0,0,0,0,2,10652029
Russian Federation,europe,2210260000000,24,10,6,8,109,143201676
Jordan,asia,31371056338,0,0,0,0,7,8090872
Spain,europe,1324820000000,26,2,11,13,106,46773055
Liberia,africa,2721000000,0,0,0,0,1,4135659
Netherlands,europe,838971000000,22,4,10,8,43,16754962
Paraguay,americas,33283228891,0,0,0,0,2,6421512
Jamaica,americas,14807086889,12,6,4,2,20,2842132
Oman,asia,76689206762,0,0,0,0,3,3498029
Gabon,africa,17171447372,0,0,0,0,5,1749682
Monaco,europe,5743029680,0,0,0,0,3,36460
New Zealand,asia,176194000000,8,6,1,1,42,4408100
Yemen,asia,35401339869,0,0,0,0,3,24473178
Pakistan,asia,224384000000,0,0,0,0,9,187281475
Albania,europe,12319784701,0,0,0,0,3,2900401
Samoa,australia,760549577.7,0,0,0,0,3,189088
United Arab Emirates,asia,374591000000,0,0,0,0,14,9141596
Guam,Oceania,5199000000,0,0,0,0,4,159996
India,asia,1827640000000,1,0,0,1,17,1265782790
Azerbaijan,asia,69683935845,1,0,1,0,11,9295784
Madagascar,asia,11578974888,0,0,0,0,1,22346641
Saint Vincent and the Grenadines,americas,692933740.7,0,0,0,0,2,108435
Kenya,africa,50412754861,2,0,1,1,10,44343410
Tajikistan,asia,7633049792,1,0,0,1,4,7874835
Turkey,europe,873982000000,2,1,1,0,43,74653016
Afghanistan,asia,20001615789,0,0,0,0,2,31161376
Czech Republic,europe,207376000000,1,0,0,1,29,10510785
Andorra,europe,3164615187,0,0,0,0,1,82427
Saint Lucia,americas,1440016852,0,0,0,0,2,176646
Mongolia,asia,12292770631,0,0,0,0,8,2824699
France,europe,2683830000000,24,10,9,5,145,65659809
Rwanda,africa,7428848122,0,0,0,0,1,10549678
Slovakia,asia,94416582465,1,0,0,1,5,5407579
Peru,americas,192649000000,0,0,0,0,4,29506788
Vanuatu,australia,781702874.1,0,0,0,0,1,249499
Republic of Congo,africa,29306235826,0,0,0,0,2,69020747
Nauru,australia,103833367.7,0,0,0,0,2,10279
Norway,europe,509506000000,2,2,0,0,14,5018573
Cote d'Ivoire,africa,26790579775,0,0,0,0,4,21547188
Cook Islands,australia,176194000000,0,0,0,0,1,4408100
Benin,africa,8152088222,0,0,0,0,2,9729248
Singapore,asia,295087000000,0,0,0,0,1,5312437
United States of America,americas,16197000000000,62,37,13,12,157,313874218
Saint Kitts and Nevis,americas,800414814.8,0,0,0,0,3,49887
Togo,africa,3873529926,0,0,0,0,3,6773807
China,asia,8532230000000,20,9,7,4,61,1350695000
Armenia,asia,10619320049,1,0,0,1,13,2884229
Dominican Republic,americas,60681535893,0,0,0,0,12,9930911
Ukraine,europe,175781000000,6,3,2,1,52,45593300
Finland,europe,258305000000,0,0,0,0,6,5413971
Libya,africa,81873662519,0,0,0,0,3,6285750
Indonesia,asia,917870000000,0,0,0,0,3,248452413
Central African Republic,africa,2510270268,0,0,0,0,2,4436415
Mauritius,africa,11668685524,0,0,0,0,3,1255882
Sweden,europe,550927000000,8,0,7,1,43,9519374
Australia,australia,1546150000000,38,5,15,18,139,22733465
British Virgin Islands,americas,2704890000000,0,0,0,0,1,63700300
Mali,africa,12442747897,0,0,0,0,2,15979499
Bulgaria,europe,53903022339,0,0,0,0,17,7305888
Romania,europe,171196000000,7,0,5,2,67,20058035
Angola,africa,128053000000,0,0,0,0,12,25107931
Portugal,europe,216237000000,0,0,0,0,31,10514844
South Africa,africa,396333000000,1,1,0,0,26,52834005
Nicaragua,americas,10532006608,0,0,0,0,3,5982526
Brunei Darussalam,asia,19048495519,0,0,0,0,9,398989
Austria,europe,409425000000,0,0,0,0,14,8429991
Vietnam,asia,155820000000,0,0,0,0,4,89802487
Mozambique,africa,16350804543,0,0,0,0,2,24862648
Uganda,africa,23114293416,0,0,0,0,4,34559168
Hungary,europe,128154000000,6,2,1,3,51,9920362
Niger,africa,6942258305,0,0,0,0,1,17795191
Malasya,asia,314443000000,0,0,0,0,10,29068159
Brazil,americas,2465190000000,15,1,10,4,105,199287296
Kuwait,asia,174070000000,1,0,0,1,11,3348853
Panama,americas,40429700000,0,0,0,0,4,3770624
Guyana,americas,2861562266,0,0,0,0,1,755399
Costa Rica,americas,46473128286,0,0,0,0,3,4688000
Luxembourg,europe,56677961787,0,0,0,0,4,530946
Bahamas,americas,10720500000,1,1,0,0,5,363584
Ireland,europe,224999000000,2,0,0,2,21,4599533
Palau,australia,211103300,0,0,0,0,1,17640
Nigeria,africa,6942258305,0,0,0,0,23,17795191
