name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,1315420000000,12,6,4,2,79,32571174
Brazil,americas,1107640000000,0,0,0,0,4,188167356
Italy,europe,1947920000000,6,4,0,2,77,58143979
Czech Republic,europe,155464000000,5,0,1,4,31,10238905
Kenya,africa,25825524821,0,0,0,0,1,37649033
India,asia,940260000000,0,0,0,0,2,1165486291
Monaco,europe,4582988333,0,0,0,0,6,34190
Lithuania,europe,30216060233,0,0,0,0,1,3269909
Mongolia,asia,3414055566,0,0,0,0,1,2558856
France,europe,2318590000000,11,3,2,6,70,63621381
Andorra,europe,3543256806,0,0,0,0,4,80993
Georgia,asia,7745394293,0,0,0,0,2,3880347
Slovakia,asia,70708098106,0,0,0,0,18,5373054
Ireland,europe,232083000000,0,0,0,0,1,4273591
San Marino,europe,2092585623,0,0,0,0,1,29700
Argentina,americas,232557000000,0,0,0,0,5,39289878
Norway,europe,345581000000,11,2,4,5,58,4660677
Uzbekistan,asia,17330833853,0,0,0,0,2,26488250
Israel,asia,154034000000,0,0,0,0,1,7053700
Australia,australia,746054000000,2,1,0,1,18,20697900
Algeria,africa,117031000000,0,0,0,0,3,33641002
Iceland,europe,17216417442,0,0,0,0,2,303782
United States of America,americas,13814600000000,15,2,6,7,79,298379912
Slovenia,europe,39481044913,0,0,0,0,24,2006868
China,asia,2752130000000,0,0,0,0,7,1311020000
Bosnia and Herzegovina,europe,12864610994,0,0,0,0,2,3765424
Lebanon,asia,22048664306,0,0,0,0,1,4759753
Belgium,europe,407918000000,0,0,0,0,2,10547958
Germany,europe,2992200000000,8,1,5,2,49,82376451
Kazakhstan,europe,81003884545,0,0,0,0,14,15308084
Poland,europe,344749000000,0,0,0,0,2,38141267
Spain,europe,1259340000000,0,0,0,0,4,44397319
Ukraine,europe,107648000000,0,0,0,0,21,46787750
Kyrgyzstan,asia,2834168889,0,0,0,0,2,5218400
Netherlands,europe,733341000000,1,1,0,0,7,16346101
Chile,americas,9676172953,0,0,0,0,3,153008
Denmark,europe,282885000000,0,0,0,0,1,5437272
Turkey,europe,552487000000,0,0,0,0,4,68756810
Finland,europe,216908000000,2,0,2,0,5,5266268
Macedonia,europe,6861222332,0,0,0,0,1,2063131
Moldova,europe,3408244549,0,0,0,0,2,3585209
Russian Federation,europe,989931000000,17,6,6,5,74,143049528
Sweden,europe,420224000000,11,5,6,0,40,9080505
Belarus,europe,36954312354,1,0,1,0,12,9604924
Croatia,europe,50454899071,0,0,0,0,2,4311159
Hungary,europe,115577000000,0,0,0,0,7,10071370
Switzerland,europe,430921000000,3,0,1,2,49,7483934
New Zealand,asia,111609000000,0,0,0,0,11,4184600
Bulgaria,europe,34130122491,0,0,0,0,10,7601022
Romania,europe,122023000000,0,0,0,0,13,21193760
Estonia,europe,17012321791,0,0,0,0,3,1346810
South Africa,africa,271638000000,0,0,0,0,1,48489459
Liechtenstein,europe,4000239273,0,0,0,0,3,34970
South Koreas,asia,1011800000000,7,5,1,1,21,48438292
Armenia,asia,6384451606,0,0,0,0,1,2958307
United Kingdom,europe,2713750000000,0,0,0,0,18,60846820
Austria,europe,335999000000,4,3,0,1,10,8268641
Latvia,europe,21436812139,0,0,0,0,35,2218357
Greece,europe,273318000000,0,0,0,0,2,11020362
Japan,asia,4530380000000,1,1,0,0,9,127854000
Tajikistan,asia,2830220713,0,0,0,0,3,6922587
