name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,592388000000.0,9,6,0,3,108,28371264.0
Ethiopia,africa,10492993078.0,2,0,0,2,7,51423585.0
Aruba,americas,958463200.2,0,0,0,0,1,68235.0
Sri Lanka,asia,9703011636.0,0,0,0,0,8,17736821.0
Swaziland,africa,1284766234.0,0,0,0,0,2,866993.0
Argentina,americas,228789000000.0,0,0,0,0,15,33529326.0
Bolivia,americas,5643893347.0,0,0,0,0,6,7160920.0
Ghana,africa,6413901602.0,9,0,0,9,19,15653336.0
Saudi Arabia,asia,137088000000.0,0,0,0,0,14,17282691.0
Slovenia,europe,13101056604.0,1,0,0,1,13,1996498.0
Guatemala,americas,10440842165.0,0,0,0,0,18,9708544.0
Guinea,africa,3284625277.0,0,0,0,0,5,6716038.0
Jordan,asia,5390688438.0,0,0,0,0,3,3977672.0
Spain,europe,630916000000.0,15,12,3,0,158,39157685.0
Netherlands,europe,362963000000.0,9,0,7,2,65,15184166.0
Jamaica,americas,3530892749.0,2,0,2,0,11,2461049.0
Oman,asia,12452275683.0,0,0,0,0,5,1983275.0
Tanzania,africa,4601413264.0,0,0,0,0,1,26961197.0
Gabon,africa,5592390849.0,0,0,0,0,2,1002579.0
Monaco,europe,2737067002.0,0,0,0,0,1,29865.0
New Zealand,asia,41649829860.0,4,0,3,1,37,3531700.0
Yemen,asia,6463649985.0,0,0,0,0,5,12954155.0
Pakistan,asia,48635176853.0,5,0,0,5,9,113911126.0
Albania,europe,652174990.8,0,0,0,0,3,3247039.0
Samoa,australia,132303041.4,0,0,0,0,1,165490.0
United Arab Emirates,asia,54239171888.0,0,0,0,0,21,2052891.0
India,asia,288208000000.0,0,0,0,0,18,909307016.0
Saint Vincent and the Grenadines,americas,277954111.1,0,0,0,0,2,107950.0
Kenya,africa,8209129172.0,3,1,2,0,11,25326078.0
Turkey,europe,158459000000.0,1,0,1,0,24,55748948.0
Bangladesh,asia,31708874594.0,0,0,0,0,4,107983704.0
Solomon Islands,australia,378778047.2,0,0,0,0,1,329995.0
Mongolia,asia,1317611864.0,1,0,0,1,16,2243495.0
France,europe,1401470000000.0,15,1,2,12,192,58851217.0
Bermuda,americas,1679900032.0,0,0,0,0,8,58595.0
Peru,americas,35966302303.0,0,0,0,0,7,22966818.0
Republic of Congo,africa,8227343907.0,0,0,0,0,3,37333914.0
Norway,europe,130838000000.0,5,1,4,0,16,4286401.0
Cote d'Ivoire,africa,11152971316.0,0,0,0,0,4,12812421.0
Benin,africa,1695315306.0,0,0,0,0,2,5331803.0
Singapore,asia,52130263966.0,0,0,0,0,3,3230698.0
United States of America,americas,6520330000000.0,62,22,15,25,175,256514000.0
Togo,africa,1692959110.0,0,0,0,0,5,3945905.0
Virgin Islands,americas,6520330000000.0,0,0,0,0,12,256514000.0
China,asia,426916000000.0,5,3,2,0,32,1164970000.0
Dominican Republic,americas,11356271336.0,0,0,0,0,8,7408342.0
Finland,europe,112533000000.0,0,0,0,0,11,5041992.0
Libya,africa,33881392045.0,0,0,0,0,3,4650885.0
Indonesia,asia,128027000000.0,1,1,0,0,6,187739786.0
Central African Republic,africa,1411917558.0,0,0,0,0,4,2959236.0
Mauritius,africa,3224267548.0,0,0,0,0,5,1084441.0
Sweden,europe,281993000000.0,7,0,6,1,65,8668067.0
Vietnam,asia,9866990236.0,0,0,0,0,1,70883481.0
Mali,africa,2830673389.0,0,0,0,0,5,8850334.0
Bulgaria,europe,10350515464.0,4,2,1,1,44,8540164.0
Romania,europe,25121666667.0,15,0,9,6,84,22794284.0
Angola,africa,8307810974.0,0,0,0,0,12,12657366.0
Portugal,europe,107592000000.0,0,0,0,0,44,9952494.0
South Africa,africa,134545000000.0,0,0,0,0,32,38672607.0
Nicaragua,americas,1792800000.0,0,0,0,0,1,4364512.0
Brunei Darussalam,asia,4183548189.0,0,0,0,0,6,273892.0
Senegal,africa,7602005274.0,0,0,0,0,9,7990096.0
Hungary,europe,38730585921.0,16,7,5,4,90,10369341.0
Malasya,asia,59167550163.0,0,0,0,0,4,19002656.0
Brazil,americas,400599000000.0,5,4,1,0,71,154259380.0
Kuwait,asia,19858555215.0,0,0,0,0,29,1912424.0
Panama,americas,8042337700.0,0,0,0,0,2,2575954.0
Guyana,americas,373573141.5,0,0,0,0,1,748602.0
Costa Rica,americas,8528593421.0,0,0,0,0,2,3286520.0
Luxembourg,europe,16065740778.0,0,0,0,0,3,392175.0
Bahamas,americas,3109000000.0,0,0,0,0,6,266029.0
Ireland,europe,55985505025.0,1,1,0,0,22,3558430.0
Nigeria,africa,2344987614.0,1,0,1,0,20,8566770.0
Ecuador,americas,18094238119.0,0,0,0,0,4,10716129.0
Australia,australia,324879000000.0,16,2,11,3,106,17495000.0
Algeria,africa,48003298223.0,1,1,0,0,16,27028326.0
Puerto Rico,americas,34630430000.0,1,0,0,1,27,3585176.0
Belgium,europe,234782000000.0,1,0,1,0,32,10045158.0
Thailand,asia,111453000000.0,1,0,0,1,10,57811021.0
Belize,americas,518239100.0,0,0,0,0,1,194324.0
Hong Kong,asia,104272000000.0,0,0,0,0,15,5800500.0
Sierra Leone,africa,679997997.6,0,0,0,0,5,4347724.0
Denmark,europe,152916000000.0,3,1,0,2,16,5171370.0
Philippines,asia,52976344929.0,0,0,0,0,17,65020116.0
Morocco,africa,33711069431.0,2,0,1,1,23,25711406.0
Namibia,africa,3424733520.0,0,0,0,0,3,1516958.0
Switzerland,europe,271814000000.0,0,0,0,0,31,6875364.0
Seychelles,africa,433667193.8,0,0,0,0,8,70763.0
Chad,africa,1881847677.0,0,0,0,0,1,6356748.0
Uruguay,americas,12878199881.0,0,0,0,0,1,3154464.0
Equatorial Guinea,africa,134707184.4,0,0,0,0,4,447266.0
Lebanon,asia,5843579161.0,0,0,0,0,6,3076132.0
Tunisia,africa,15497286296.0,0,0,0,0,5,8613861.0
Colombia,americas,58418985443.0,0,0,0,0,17,34422569.0
Cyprus,europe,6912150456.0,0,0,0,0,4,800611.0
Barbados,americas,1950900000.0,0,0,0,0,6,262886.0
Qatar,asia,7646153984.0,0,0,0,0,14,495395.0
Italy,europe,1320160000000.0,19,8,6,5,145,56797087.0
Sudan,africa,7034219713.0,0,0,0,0,1,21696244.0
Liechtenstein,europe,1631197909.0,0,0,0,0,3,29553.0
Malta,europe,3021910217.0,0,0,0,0,2,367618.0
Maldives,asia,284853358.6,0,0,0,0,1,236265.0
Suriname,americas,404600000.0,0,0,0,0,1,420655.0
Venezuela,americas,60401798246.0,0,0,0,0,5,20557683.0
Netherlands Antilles,americas,499281148.1,0,0,0,0,3,64471.0
Israel,asia,75607012222.0,1,0,1,0,13,5123000.0
Iceland,europe,7091625419.0,0,0,0,0,6,261057.0
Zambia,africa,3181921788.0,0,0,0,0,3,8451347.0
Austria,europe,195078000000.0,1,0,1,0,20,7840709.0
Papua New Guinea,australia,4377980510.0,0,0,0,0,3,4836217.0
Union of Soviet Socialist Republics,asia,460291000000.0,38,16,10,12,111,148689000.0
Trinidad and Tobago,americas,5439552941.0,0,0,0,0,9,1236683.0
Zimbabwe,africa,6751472200.0,0,0,0,0,5,10900502.0
Germany,europe,2131570000000.0,35,13,12,10,109,80624598.0
Mauritania,africa,1464392418.0,0,0,0,0,2,2142645.0
